Server;Tagname;Value;Timestamp;Questionable;Annotated;Substituted
pi.vkg.ee;GGS5.GG10.TDT16;892.7236;15.03.2019 00:00:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;892.0974;15.03.2019 00:02:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;888.6052;15.03.2019 00:02:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;888.6052;15.03.2019 00:03:33;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;891.0237;15.03.2019 00:03:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;891.0237;15.03.2019 00:04:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;896.7315;15.03.2019 00:04:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;896.7315;15.03.2019 00:05:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;901.8289;15.03.2019 00:05:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;901.8289;15.03.2019 00:06:53;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;906.0341;15.03.2019 00:06:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;906.0341;15.03.2019 00:07:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;908.9578;15.03.2019 00:08:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;908.9578;15.03.2019 00:09:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;913.9841;15.03.2019 00:09:08;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;922.0554;15.03.2019 00:15:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;919.6263;15.03.2019 00:15:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;919.6263;15.03.2019 00:16:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;916.6921;15.03.2019 00:16:53;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;918.2104;15.03.2019 00:19:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;924.2289;15.03.2019 00:19:08;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;922.3921;15.03.2019 00:21:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;919.363;15.03.2019 00:21:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;920.6816;15.03.2019 00:23:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;923.9289;15.03.2019 00:23:33;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;923.9289;15.03.2019 00:24:33;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;926.15;15.03.2019 00:24:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;926.15;15.03.2019 00:25:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;923.2737;15.03.2019 00:25:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;923.3552;15.03.2019 00:28:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;927.2659;15.03.2019 00:29:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;929.0764;15.03.2019 00:31:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG10.TDT16;926.2079;15.03.2019 00:31:18;False;Not Annotated;False
