Server;Tagname;Value;Timestamp;Questionable;Annotated;Substituted
pi.vkg.ee;GGS5.GG1.TDT1;25.1294;15.03.2019 00:16:33;False;Not Annotated;False
pi.vkg.ee;GGS5.GG1.TDT1;24.3137;15.03.2019 08:08:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG1.TDT1;25.409;15.03.2019 10:54:53;False;Not Annotated;False
pi.vkg.ee;GGS5.GG1.TDT1;29.7746;15.03.2019 12:05:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG1.TDT1;30.945;15.03.2019 13:32:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG1.TDT1;30.1261;15.03.2019 13:53:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG1.TDT1;28.7992;15.03.2019 14:09:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG1.TDT1;28.4154;15.03.2019 14:35:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG1.TDT1;23.1694;15.03.2019 18:01:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG1.TDT1;21.8978;16.03.2019 01:53:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG1.TDT1;22.3463;16.03.2019 09:45:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG1.TDT1;22.3182;16.03.2019 17:37:33;False;Not Annotated;False
pi.vkg.ee;GGS5.GG1.TDT1;22.0991;17.03.2019 01:29:33;False;Not Annotated;False
pi.vkg.ee;GGS5.GG1.TDT1;22.4799;17.03.2019 09:21:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG1.TDT1;21.7841;17.03.2019 17:14:08;False;Not Annotated;False
pi.vkg.ee;GGS5.GG1.TDT1;20.9673;18.03.2019 01:06:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG1.TDT1;22.5821;18.03.2019 08:58:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG1.TDT1;23.355;18.03.2019 16:50:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG1.TDT1;21.8331;19.03.2019 00:42:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG1.TDT1;21.5692;19.03.2019 08:34:53;False;Not Annotated;False
pi.vkg.ee;GGS5.GG1.TDT1;21.6151;19.03.2019 14:36:38;False;Not Annotated;False
