Server;Tagname;Value;Timestamp;Questionable;Annotated;Substituted
pi.vkg.ee;GGS5.GG12.TDT8;831.3622;15.03.2019 04:36:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.5261;15.03.2019 04:36:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.5261;15.03.2019 04:37:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;822.3243;15.03.2019 04:37:53;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;822.3243;15.03.2019 04:38:53;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;818.3604;15.03.2019 04:38:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;813.6829;15.03.2019 04:43:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;819.1927;15.03.2019 04:43:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;819.1927;15.03.2019 04:44:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.9622;15.03.2019 04:44:33;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.9622;15.03.2019 04:45:33;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;830.7279;15.03.2019 04:45:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;830.7279;15.03.2019 04:46:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;828.2703;15.03.2019 04:46:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;828.2703;15.03.2019 04:47:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;825.3766;15.03.2019 04:47:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;825.3766;15.03.2019 04:48:53;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;821.373;15.03.2019 04:48:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;821.373;15.03.2019 04:49:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;818.5982;15.03.2019 04:50:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;815.3081;15.03.2019 04:59:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;823.236;15.03.2019 04:59:08;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;823.236;15.03.2019 05:00:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;829.4595;15.03.2019 05:00:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;830.8865;15.03.2019 05:02:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.3676;15.03.2019 05:02:33;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.3676;15.03.2019 05:03:33;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;822.2054;15.03.2019 05:03:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;822.2054;15.03.2019 05:04:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;820.0253;15.03.2019 05:04:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;814.7928;15.03.2019 05:10:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;823.1964;15.03.2019 05:10:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;823.1964;15.03.2019 05:11:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;830.3712;15.03.2019 05:11:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;831.6396;15.03.2019 05:13:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;827.6757;15.03.2019 05:13:33;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;827.6757;15.03.2019 05:14:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;823.9099;15.03.2019 05:14:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;823.9099;15.03.2019 05:15:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;820.937;15.03.2019 05:15:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;817.4487;15.03.2019 05:25:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;815.7838;15.03.2019 05:26:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;819.2721;15.03.2019 05:26:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;819.2721;15.03.2019 05:27:53;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;828.9045;15.03.2019 05:27:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;828.9045;15.03.2019 05:28:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;837.3081;15.03.2019 05:29:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;837.3081;15.03.2019 05:30:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;834.8505;15.03.2019 05:30:08;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;834.8505;15.03.2019 05:31:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;828.5081;15.03.2019 05:31:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;828.5081;15.03.2019 05:32:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;824.3063;15.03.2019 05:32:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;824.3063;15.03.2019 05:33:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;822.1262;15.03.2019 05:33:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;819.0739;15.03.2019 05:35:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;819.8666;15.03.2019 05:38:53;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.3279;15.03.2019 05:38:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.3279;15.03.2019 05:40:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;831.5207;15.03.2019 05:40:08;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;831.5207;15.03.2019 05:41:08;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;834.9297;15.03.2019 05:41:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;834.9297;15.03.2019 05:42:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;829.9747;15.03.2019 05:42:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;829.9747;15.03.2019 05:43:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;825.5352;15.03.2019 05:43:23;False;Not Annotated;False
