Server;Tagname;Value;Timestamp;Questionable;Annotated;Substituted
pi.vkg.ee;GGS5.GG3.TDT3;77.1964;01.03.2019 00:54:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG3.TDT3;76.8865;01.03.2019 01:25:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG3.TDT3;76.7423;01.03.2019 02:00:09;False;Not Annotated;False
pi.vkg.ee;GGS5.GG3.TDT3;77.2721;01.03.2019 02:22:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG3.TDT3;78.7604;01.03.2019 02:32:08;False;Not Annotated;False
pi.vkg.ee;GGS5.GG3.TDT3;77.8631;01.03.2019 03:19:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG3.TDT3;77.182;01.03.2019 04:05:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG3.TDT3;78.4793;01.03.2019 04:18:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG3.TDT3;77.6072;01.03.2019 05:00:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG3.TDT3;77.6577;01.03.2019 05:51:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG3.TDT3;78.5225;01.03.2019 06:04:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG3.TDT3;76.9586;01.03.2019 06:29:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG3.TDT3;77.0703;01.03.2019 06:54:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG3.TDT3;77.1928;01.03.2019 09:20:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG3.TDT3;78.0216;01.03.2019 10:57:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG3.TDT3;77.0667;01.03.2019 11:40:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG3.TDT3;76.4865;01.03.2019 12:15:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG3.TDT3;77.1027;01.03.2019 13:04:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG3.TDT3;78.1477;01.03.2019 13:52:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG3.TDT3;77.4811;01.03.2019 14:25:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG3.TDT3;76.6414;01.03.2019 15:43:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG3.TDT3;77.5712;01.03.2019 16:43:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG3.TDT3;76.9297;01.03.2019 17:15:58;False;Not Annotated;False
